node_type,parent_node,join_type,relation_name,alias,plan_rows,actual_rows,startup_cost,total_cost,plan_width,selectivity,cost_ratio,log_plan_rows,filter,hash_cond,index_cond
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'action'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,21.0,0.029411764705882353,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,43.0,0.0,221.11,221.22,25.0,1.0,1.0004974899371353,1.633468,none,none,none
Sort,Limit,None,None,None,67.0,0.0,221.11,221.28,25.0,1.0,1.0007688480846637,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,216.58,219.08,25.0,1.0,1.0115430787699695,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1060.0,1143.0,109.42,211.28,19.0,1.0,1.9309084262474867,3.025306,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1060.0,1143.0,102.92,201.94,4.0,1.0,1.9621064904780412,3.025306,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,194.0,194.0,100.5,100.5,4.0,0.1830188679245283,1.0,2.287802,none,none,none
Seq Scan,Hash,None,film,f,194.0,194.0,0.0,100.5,4.0,1.0,100.5,2.287802,rating = 'pg'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.18867924528301888,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,17.0,16.0,204.38,204.42,95.0,1.0,1.0001957138663273,1.230449,none,none,none
Sort,Limit,None,None,None,96.0,16.0,204.38,204.62,95.0,1.0,1.0011742831979646,1.982271,none,none,none
Aggregate,Sort,None,None,None,96.0,16.0,198.35,201.94,95.0,1.0,1.0180993193849257,1.982271,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,287.0,248.0,62.39,196.2,91.0,1.0,3.144734733130309,2.457882,none,none,none
Hash Join,Nested Loop,Inner,None,None,82.0,71.0,62.11,150.92,91.0,0.2857142857142857,2.429882466591531,1.913814,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,18.0,18.0,61.88,61.88,89.0,0.21951219512195122,1.0,1.255273,none,none,none
Nested Loop,Hash,Inner,None,None,18.0,18.0,1.49,61.88,89.0,1.0,41.530201342281885,1.255273,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,69.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%family%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.05555555555555555,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.013937282229965157,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,none,none,none
Aggregate,Limit,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,countpayment_id > #,none,none
Sort,Aggregate,None,None,None,1.0,0.0,298.78,298.78,21.0,1.0,1.0,0.0,none,none,none
Nested Loop,Sort,Inner,None,None,1.0,0.0,0.28,298.77,21.0,1.0,1067.0357142857142,0.0,none,none,none
Seq Scan,Nested Loop,None,payment,p,1.0,0.0,0.0,290.45,6.0,1.0,290.45,0.0,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Index Scan,Nested Loop,None,customer,c,1.0,0.0,0.28,8.29,17.0,1.0,29.60714285714285,0.0,none,none,none
Limit,ROOT,None,None,None,22.0,15.0,259.91,259.96,95.0,1.0,1.0001923742834056,1.342423,none,none,none
Sort,Limit,None,None,None,193.0,15.0,259.91,260.39,95.0,1.0,1.0018467931206956,2.285557,none,none,none
Aggregate,Sort,None,None,None,193.0,15.0,247.41,254.64,95.0,1.0,1.0292227476658178,2.285557,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,578.0,527.0,62.62,243.08,91.0,1.0,3.8818268923666563,2.761928,none,none,none
Hash Join,Nested Loop,Inner,None,None,165.0,150.0,62.33,151.97,91.0,0.28546712802768165,2.438151772822076,2.217484,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,36.0,35.0,61.88,61.88,89.0,0.21818181818181817,1.0,1.556303,none,none,none
Nested Loop,Hash,Inner,None,None,36.0,35.0,1.49,61.88,89.0,1.0,41.530201342281885,1.556303,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,58.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%comedy%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,19.0,0.027777777777777776,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,4.0,0.29,0.51,8.0,0.006920415224913495,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,39.0,0.0,221.11,221.21,25.0,1.0,1.000452263579214,1.591065,none,none,none
Sort,Limit,None,None,None,67.0,0.0,221.11,221.28,25.0,1.0,1.0007688480846637,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,216.58,219.08,25.0,1.0,1.0115430787699695,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1060.0,1143.0,109.42,211.28,19.0,1.0,1.9309084262474867,3.025306,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1060.0,1143.0,102.92,201.94,4.0,1.0,1.9621064904780412,3.025306,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,194.0,194.0,100.5,100.5,4.0,0.1830188679245283,1.0,2.287802,none,none,none
Seq Scan,Hash,None,film,f,194.0,194.0,0.0,100.5,4.0,1.0,100.5,2.287802,rating = 'pg'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.18867924528301888,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,18.0,0.0,220.81,220.85,25.0,1.0,1.0001811512159775,1.255273,none,none,none
Sort,Limit,None,None,None,67.0,0.0,220.81,220.98,25.0,1.0,1.0007698926679045,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,216.58,219.08,25.0,1.0,1.0115430787699695,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1060.0,1143.0,109.42,211.28,19.0,1.0,1.9309084262474867,3.025306,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1060.0,1143.0,102.92,201.94,4.0,1.0,1.9621064904780412,3.025306,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,194.0,194.0,100.5,100.5,4.0,0.1830188679245283,1.0,2.287802,none,none,none
Seq Scan,Hash,None,film,f,194.0,194.0,0.0,100.5,4.0,1.0,100.5,2.287802,rating = 'pg'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.18867924528301888,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,15.0,1.0,219.57,219.6,95.0,1.0,1.0001366306872523,1.176091,none,none,none
Sort,Limit,None,None,None,123.0,1.0,219.57,219.87,95.0,1.0,1.0013663068725236,2.089905,none,none,none
Aggregate,Sort,None,None,None,123.0,1.0,211.95,216.55,95.0,1.0,1.021703231894315,2.089905,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,368.0,342.0,62.46,209.19,91.0,1.0,3.3491834774255524,2.565848,none,none,none
Hash Join,Nested Loop,Inner,None,None,105.0,99.0,62.17,151.21,91.0,0.28532608695652173,2.432202026700981,2.021189,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,23.0,20.0,61.88,61.88,89.0,0.21904761904761905,1.0,1.361728,none,none,none
Nested Loop,Hash,Inner,None,None,23.0,20.0,1.49,61.88,89.0,1.0,41.530201342281885,1.361728,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%action%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.043478260869565216,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.010869565217391304,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,12.0,0.0,220.66,220.69,25.0,1.0,1.0001359557690566,1.079181,none,none,none
Sort,Limit,None,None,None,67.0,0.0,220.66,220.83,25.0,1.0,1.0007704160246533,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,216.63,219.13,25.0,1.0,1.01154041453169,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1065.0,1031.0,109.44,211.3,19.0,1.0,1.9307383040935675,3.02735,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1065.0,1031.0,102.94,201.95,4.0,1.0,1.9618224208276664,3.02735,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,195.0,195.0,100.5,100.5,4.0,0.18309859154929578,1.0,2.290035,none,none,none
Seq Scan,Hash,None,film,f,195.0,195.0,0.0,100.5,4.0,1.0,100.5,2.290035,rating = 'r'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.18779342723004694,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,31.0,0.0,222.65,222.73,25.0,1.0,1.000359308331462,1.491362,none,none,none
Sort,Limit,None,None,None,67.0,0.0,222.65,222.82,25.0,1.0,1.0007635302043565,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,218.15,220.65,25.0,1.0,1.0114600045840019,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1218.0,1184.0,109.79,212.06,19.0,1.0,1.9315056016030603,3.085647,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1218.0,1184.0,103.29,202.3,4.0,1.0,1.958563268467422,3.085647,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,223.0,223.0,100.5,100.5,4.0,0.18308702791461412,1.0,2.348305,none,none,none
Seq Scan,Hash,None,film,f,223.0,223.0,0.0,100.5,4.0,1.0,100.5,2.348305,rating = 'pg-#'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.16420361247947454,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,21.0,0.0,220.01,220.06,25.0,1.0,1.0002272623971638,1.322219,none,none,none
Sort,Limit,None,None,None,67.0,0.0,220.01,220.18,25.0,1.0,1.0007726921503568,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,215.71,218.21,25.0,1.0,1.0115896342311437,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,972.0,976.0,109.22,210.85,19.0,1.0,1.9305072331074895,2.987666,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,972.0,976.0,102.72,201.74,4.0,1.0,1.9639797507788164,2.987666,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,178.0,178.0,100.5,100.5,4.0,0.1831275720164609,1.0,2.25042,none,none,none
Seq Scan,Hash,None,film,f,178.0,178.0,0.0,100.5,4.0,1.0,100.5,2.25042,rating = 'g'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.205761316872428,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,43.0,0.0,221.11,221.22,25.0,1.0,1.0004974899371353,1.633468,none,none,none
Sort,Limit,None,None,None,67.0,0.0,221.11,221.28,25.0,1.0,1.0007688480846637,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,216.58,219.08,25.0,1.0,1.0115430787699695,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1060.0,1143.0,109.42,211.28,19.0,1.0,1.9309084262474867,3.025306,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1060.0,1143.0,102.92,201.94,4.0,1.0,1.9621064904780412,3.025306,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,194.0,194.0,100.5,100.5,4.0,0.1830188679245283,1.0,2.287802,none,none,none
Seq Scan,Hash,None,film,f,194.0,194.0,0.0,100.5,4.0,1.0,100.5,2.287802,rating = 'pg'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.18867924528301888,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,10.0,10.0,62.15,62.18,85.0,1.0,1.0004827031375705,1.0,none,none,none
Sort,Limit,None,None,None,14.0,10.0,62.15,62.19,85.0,1.0,1.0006436041834272,1.146128,none,none,none
Nested Loop,Sort,Inner,None,None,14.0,11.0,1.49,61.88,85.0,1.0,41.530201342281885,1.146128,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,56.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'horror'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,21.0,0.07142857142857142,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,5.0,5.0,62.15,62.16,85.0,1.0,1.0001609010458568,0.69897,none,none,none
Sort,Limit,None,None,None,16.0,5.0,62.15,62.19,85.0,1.0,1.0006436041834272,1.20412,none,none,none
Nested Loop,Sort,Inner,None,None,16.0,15.0,1.49,61.88,85.0,1.0,41.530201342281885,1.20412,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,58.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'comedy'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,21.0,0.0625,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,3.0,3.0,61.92,61.93,85.0,1.0,1.0001614987080103,0.477121,none,none,none
Sort,Limit,None,None,None,3.0,3.0,61.92,61.93,85.0,1.0,1.0001614987080103,0.477121,none,none,none
Nested Loop,Sort,Inner,None,None,3.0,3.0,1.49,61.9,85.0,1.0,41.54362416107382,0.477121,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,58.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'comedy'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,21.0,0.3333333333333333,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,41.0,5.0,221.11,221.21,25.0,1.0,1.000452263579214,1.612784,none,none,none
Sort,Limit,None,None,None,67.0,5.0,221.11,221.28,25.0,1.0,1.0007688480846637,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,5.0,216.58,219.08,25.0,1.0,1.0115430787699695,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1060.0,1143.0,109.42,211.28,19.0,1.0,1.9309084262474867,3.025306,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1060.0,1143.0,102.92,201.94,4.0,1.0,1.9621064904780412,3.025306,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,194.0,194.0,100.5,100.5,4.0,0.1830188679245283,1.0,2.287802,none,none,none
Seq Scan,Hash,None,film,f,194.0,194.0,0.0,100.5,4.0,1.0,100.5,2.287802,rating = 'pg'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.18867924528301888,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,19.0,0.0,222.41,222.46,25.0,1.0,1.00022481003552,1.278754,none,none,none
Sort,Limit,None,None,None,67.0,0.0,222.41,222.58,25.0,1.0,1.000764354120768,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,218.15,220.65,25.0,1.0,1.0114600045840019,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1218.0,1184.0,109.79,212.06,19.0,1.0,1.9315056016030603,3.085647,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1218.0,1184.0,103.29,202.3,4.0,1.0,1.958563268467422,3.085647,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,223.0,223.0,100.5,100.5,4.0,0.18308702791461412,1.0,2.348305,none,none,none
Seq Scan,Hash,None,film,f,223.0,223.0,0.0,100.5,4.0,1.0,100.5,2.348305,rating = 'pg-#'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.16420361247947454,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,22.0,0.0,220.03,220.09,25.0,1.0,1.0002726900877152,1.342423,none,none,none
Sort,Limit,None,None,None,67.0,0.0,220.03,220.2,25.0,1.0,1.0007726219151933,1.826075,none,none,none
